num_arms,n_arm,d1,d2,d3,period_blocks,mu0,sigma,theta1,theta2,theta3,lambda0,lambda1,lambda2,lambda3,trend,N_peak,alpha,prec_theta,prec_eta,tau_a,tau_b,tau_case,prec_a,prec_b,bucket_size,opt,prior_prec_tau,prior_prec_eta,n_samples,n_chains,n_iter,n_adapt,robustify,weight,ncc,study_arm,model,reject_h0,bias,MSE,failed,nsim
3,250,0,0,0,2,0,1,0,0,0,0.1,-0.05,-0.05,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,fixmodel,0.027,1.7031146237251045e-4,0.008237775842463628,0,1000
3,250,0,0,0,2,0,1,0,0,0,0.1,-0.05,-0.05,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,MAPpriorNew,0.028,8.51968859566177e-5,0.008248645482723787,0,1000
3,250,0,0,0,2,0,1,0,0,0,0.1,-0.05,-0.05,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,poolmodel,0.028,1.7031146237247492e-4,0.00823777584246364,0,1000
3,250,0,0,0,2,0,1,0,0,0,0.1,-0.05,-0.05,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,sepmodel,0.028,1.7031146237247492e-4,0.00823777584246364,0,1000
3,250,0,0,0,2,0,1,0,0,0,0.1,-0.05,-0.05,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,timemachine,0.028,1.4117693584830626e-4,0.008238712430854667,0,1000
3,250,0,125,250,2,0,1,0,0,0,0.1,-0.05,-0.05,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,fixmodel,0.036,0.01468307969844855,0.007481393425219487,0,1000
3,250,0,125,250,2,0,1,0,0,0,0.1,-0.05,-0.05,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,MAPpriorNew,0.029,0.008312197680925075,0.007576651437965768,0,1000
3,250,0,125,250,2,0,1,0,0,0,0.1,-0.05,-0.05,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,poolmodel,0.043,0.020401392171889028,0.0071235759605055475,0,1000
3,250,0,125,250,2,0,1,0,0,0,0.1,-0.05,-0.05,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,sepmodel,0.029,0.004771947623087279,0.007991882853096342,0,1000
3,250,0,125,250,2,0,1,0,0,0,0.1,-0.05,-0.05,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,timemachine,0.039,0.01593481825065568,0.007409492721979371,0,1000
3,250,0,250,500,2,0,1,0,0,0,0.1,-0.05,-0.05,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,fixmodel,0.028,0.007886394316182061,0.006975341426416352,0,1000
3,250,0,250,500,2,0,1,0,0,0,0.1,-0.05,-0.05,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,MAPpriorNew,0.02,0.0032286855582115527,0.006851788564081385,0,1000
3,250,0,250,500,2,0,1,0,0,0,0.1,-0.05,-0.05,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,poolmodel,0.049,0.023366188527543574,0.006581213389193949,0,1000
3,250,0,250,500,2,0,1,0,0,0,0.1,-0.05,-0.05,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,sepmodel,0.015,-0.003022757242450557,0.007431745233379184,0,1000
3,250,0,250,500,2,0,1,0,0,0,0.1,-0.05,-0.05,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,timemachine,0.029,0.012430524106772917,0.006853412368877854,0,1000
3,250,0,375,750,2,0,1,0,0,0,0.1,-0.05,-0.05,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,fixmodel,0.034,0.0052333842673912626,0.007725543944932839,0,1000
3,250,0,375,750,2,0,1,0,0,0,0.1,-0.05,-0.05,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,MAPpriorNew,0.035,0.01140362793659475,0.007226064005403861,0,1000
3,250,0,375,750,2,0,1,0,0,0,0.1,-0.05,-0.05,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,poolmodel,0.06,0.030289675387240013,0.0067766043737261285,0,1000
3,250,0,375,750,2,0,1,0,0,0,0.1,-0.05,-0.05,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,sepmodel,0.029,0.0016390393802786299,0.008249526055567362,0,1000
3,250,0,375,750,2,0,1,0,0,0,0.1,-0.05,-0.05,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,timemachine,0.032,0.010920590694148349,0.007058041390532136,0,1000
3,250,0,500,1000,2,0,1,0,0,0,0.1,-0.05,-0.05,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,fixmodel,0.024,7.820916150972194e-4,0.007721807779311211,0,1000
3,250,0,500,1000,2,0,1,0,0,0,0.1,-0.05,-0.05,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,MAPpriorNew,0.026,0.009080695946571595,0.006668061132181372,0,1000
3,250,0,500,1000,2,0,1,0,0,0,0.1,-0.05,-0.05,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,poolmodel,0.057,0.03204553946665543,0.006075314770957492,0,1000
3,250,0,500,1000,2,0,1,0,0,0,0.1,-0.05,-0.05,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,sepmodel,0.022,7.82091615096907e-4,0.007721807779311238,0,1000
3,250,0,500,1000,2,0,1,0,0,0,0.1,-0.05,-0.05,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,timemachine,0.027,0.012708934339408064,0.006498443124245753,0,1000
3,250,0,0,0,2,0,1,0,0,0,0.1,-0.012500000000000004,-0.012500000000000004,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,fixmodel,0.032,-0.0023581356807555773,0.008341066468066644,0,1000
3,250,0,0,0,2,0,1,0,0,0,0.1,-0.012500000000000004,-0.012500000000000004,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,MAPpriorNew,0.031,-0.0023099391294973473,0.008328774990486227,0,1000
3,250,0,0,0,2,0,1,0,0,0,0.1,-0.012500000000000004,-0.012500000000000004,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,poolmodel,0.031,-0.002358135680755561,0.008341066468066665,0,1000
3,250,0,0,0,2,0,1,0,0,0,0.1,-0.012500000000000004,-0.012500000000000004,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,sepmodel,0.031,-0.002358135680755561,0.008341066468066665,0,1000
3,250,0,0,0,2,0,1,0,0,0,0.1,-0.012500000000000004,-0.012500000000000004,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,timemachine,0.032,-0.0023488264741670663,0.008342346108049778,0,1000
3,250,0,125,250,2,0,1,0,0,0,0.1,-0.012500000000000004,-0.012500000000000004,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,fixmodel,0.022,0.004564332948059617,0.007097751759558443,0,1000
3,250,0,125,250,2,0,1,0,0,0,0.1,-0.012500000000000004,-0.012500000000000004,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,MAPpriorNew,0.022,0.0010269505002859724,0.007093733513377415,0,1000
3,250,0,125,250,2,0,1,0,0,0,0.1,-0.012500000000000004,-0.012500000000000004,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,poolmodel,0.025,0.013342354884136919,0.006595731647740976,0,1000
3,250,0,125,250,2,0,1,0,0,0,0.1,-0.012500000000000004,-0.012500000000000004,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,sepmodel,0.021,-0.0028454729264552176,0.007571193401642627,0,1000
3,250,0,125,250,2,0,1,0,0,0,0.1,-0.012500000000000004,-0.012500000000000004,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,timemachine,0.021,0.006102231830106546,0.006945360454910871,0,1000
3,250,0,250,500,2,0,1,0,0,0,0.1,-0.012500000000000004,-0.012500000000000004,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,fixmodel,0.031,0.009053394589136414,0.007130016563704693,0,1000
3,250,0,250,500,2,0,1,0,0,0,0.1,-0.012500000000000004,-0.012500000000000004,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,MAPpriorNew,0.024,0.0070453193680374195,0.0068418011688509235,0,1000
3,250,0,250,500,2,0,1,0,0,0,0.1,-0.012500000000000004,-0.012500000000000004,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,poolmodel,0.051,0.026693515127876908,0.006685590263652466,0,1000
3,250,0,250,500,2,0,1,0,0,0,0.1,-0.012500000000000004,-0.012500000000000004,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,sepmodel,0.02,0.001201494793503253,0.007387561361525736,0,1000
3,250,0,250,500,2,0,1,0,0,0,0.1,-0.012500000000000004,-0.012500000000000004,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,timemachine,0.035,0.012069291585860665,0.0069251483222924765,0,1000
3,250,0,375,750,2,0,1,0,0,0,0.1,-0.012500000000000004,-0.012500000000000004,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,fixmodel,0.03,0.00479698639361532,0.007790460140709451,0,1000
3,250,0,375,750,2,0,1,0,0,0,0.1,-0.012500000000000004,-0.012500000000000004,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,MAPpriorNew,0.032,0.011255967346725682,0.00711028199591606,0,1000
3,250,0,375,750,2,0,1,0,0,0,0.1,-0.012500000000000004,-0.012500000000000004,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,poolmodel,0.062,0.03170212590065329,0.006428901808701277,0,1000
