num_arms,n_arm,d1,d2,d3,period_blocks,mu0,sigma,theta1,theta2,theta3,lambda0,lambda1,lambda2,lambda3,trend,N_peak,alpha,prec_theta,prec_eta,tau_a,tau_b,tau_case,prec_a,prec_b,bucket_size,opt,prior_prec_tau,prior_prec_eta,n_samples,n_chains,n_iter,n_adapt,robustify,weight,ncc,study_arm,model,reject_h0,bias,MSE,failed,nsim
3,250,0,0,0,2,0,1,0.25,0.25,0.25,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,2,fixmodel,0.783,-0.0037004706499442343,0.008452456840167407,0,1000
3,250,0,0,0,2,0,1,0.25,0.25,0.25,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,2,MAPpriorNew,0.789,-0.0036682942229489326,0.008436812870235635,0,1000
3,250,0,0,0,2,0,1,0.25,0.25,0.25,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,2,poolmodel,0.788,-0.003700470649944481,0.00845245684016739,0,1000
3,250,0,0,0,2,0,1,0.25,0.25,0.25,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,2,sepmodel,0.788,-0.003700470649944481,0.00845245684016739,0,1000
3,250,0,0,0,2,0,1,0.25,0.25,0.25,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,2,timemachine,0.784,-0.003698786585439658,0.00845225887952063,0,1000
3,250,0,0,0,2,0,1,0.25,0.25,0.25,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,fixmodel,0.795,-0.002569772542203832,0.008243767114786657,0,1000
3,250,0,0,0,2,0,1,0.25,0.25,0.25,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,MAPpriorNew,0.795,-0.0027015645975305112,0.00828113518338102,0,1000
3,250,0,0,0,2,0,1,0.25,0.25,0.25,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,poolmodel,0.794,-0.0025697725422035842,0.00824376711478667,0,1000
3,250,0,0,0,2,0,1,0.25,0.25,0.25,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,sepmodel,0.794,-0.0025697725422035842,0.00824376711478667,0,1000
3,250,0,0,0,2,0,1,0.25,0.25,0.25,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,3,timemachine,0.797,-0.002537194502980982,0.008245210651943176,0,1000
3,250,0,125,250,2,0,1,0.25,0.25,0.25,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,2,fixmodel,0.825,-2.5170402765138536e-4,0.007068311865477682,0,1000
3,250,0,125,250,2,0,1,0.25,0.25,0.25,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,2,MAPpriorNew,0.808,-0.0013789877088894854,0.0074090782797715275,0,1000
