num_arms,n_arm,d1,d2,d3,d4,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,N_peak,alpha,prec_theta,prec_eta,tau_a,tau_b,tau_case,prec_a,prec_b,bucket_size,opt,prior_prec_tau,prior_prec_eta,n_samples,n_chains,n_iter,n_adapt,robustify,weight,ncc,study_arm,model,reject_h0,bias,MSE,failed,nsim
4,250,0,300,300,800,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,fixmodel,0.028,-0.0011853800547118383,0.007476329294005727,0,1000
4,250,0,300,300,800,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,MAPpriorNew,0.023,-0.01596647405834679,0.007746395282426463,0,1000
4,250,0,300,300,800,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,poolmodel,0.008,-0.04825085311759882,0.008526452614702891,0,1000
4,250,0,300,300,800,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,sepmodel,0.031,-0.002594819253476906,0.00845845893228058,0,1000
4,250,0,300,300,800,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,timemachine,0.025,-0.01007436813377886,0.007263359559202648,0,1000
4,250,0,300,425,800,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,fixmodel,0.019,-0.0020168488207376475,0.007025150799376585,0,1000
4,250,0,300,425,800,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,MAPpriorNew,0.009,-0.017775340049671857,0.006951378299168313,0,1000
4,250,0,300,425,800,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,poolmodel,0.002,-0.0487914905323866,0.007955460099834787,0,1000
4,250,0,300,425,800,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,sepmodel,0.018,-8.174578968036378e-4,0.00762056913340453,0,1000
4,250,0,300,425,800,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,timemachine,0.013,-0.013986360575363262,0.006754223564342781,0,1000
4,250,0,300,550,800,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,fixmodel,0.022,7.74143112467938e-4,0.007734992700863058,0,1000
4,250,0,300,550,800,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,MAPpriorNew,0.013,-0.014415792818828021,0.007676484019019191,0,1000
4,250,0,300,550,800,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,poolmodel,0.004,-0.044572994092720544,0.008380278412917731,0,1000
4,250,0,300,550,800,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,sepmodel,0.03,0.001502627855159133,0.008429491595407379,0,1000
4,250,0,300,550,800,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,timemachine,0.019,-0.006015353716224149,0.007299235439509588,0,1000
4,250,0,300,675,800,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,fixmodel,0.025,-0.0037248333370710636,0.007222004479440921,0,1000
4,250,0,300,675,800,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,MAPpriorNew,0.015,-0.01943959065984438,0.007291591580323226,0,1000
4,250,0,300,675,800,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,poolmodel,0.005,-0.049422678024495584,0.008053941956467373,0,1000
4,250,0,300,675,800,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,sepmodel,0.026,-0.0037648116495318015,0.008019207443395066,0,1000
4,250,0,300,675,800,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,timemachine,0.015,-0.014344588196484294,0.006953477533477579,0,1000
4,250,0,300,800,800,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,fixmodel,0.022,-2.653553363912413e-4,0.007477234941214657,0,1000
4,250,0,300,800,800,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,MAPpriorNew,0.015,-0.015542426514668492,0.0069735423437785864,0,1000
4,250,0,300,800,800,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,poolmodel,0.008,-0.04493223986010555,0.007722019306814363,0,1000
4,250,0,300,800,800,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,sepmodel,0.024,-2.89026141325972e-4,0.007828594494283686,0,1000
4,250,0,300,800,800,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,timemachine,0.013,-0.01308448078417028,0.0068529009047680065,0,1000
4,250,0,300,300,1150,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,fixmodel,0.02,-0.001151105459476127,0.007901657401765724,0,1000
4,250,0,300,300,1150,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,MAPpriorNew,0.012,-0.018156815456146856,0.007136280712793545,0,1000
4,250,0,300,300,1150,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,poolmodel,0.004,-0.050078689269881606,0.008138730595939463,0,1000
4,250,0,300,300,1150,2,0,1,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,sepmodel,0.02,-0.0011511054594766131,0.007901657401765714,0,1000
