num_arms,n_arm,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,lambda9,lambda10,trend,N_peak,alpha,prec_theta,prec_eta,tau_a,tau_b,tau_case,prec_a,prec_b,bucket_size,opt,prior_prec_tau,prior_prec_eta,n_samples,n_chains,n_iter,n_adapt,robustify,weight,trend_mean,trend_var,ncc,study_arm,model,reject_h0,bias,MSE,failed,nsim
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,fixmodel,0.864,0.008268108305161597,0.006922914790440125,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,MAPpriorNew,0.892,-0.0014990707257854644,0.005618216454372868,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,poolmodel,0.945,-3.731140635708143e-4,0.004946384476089383,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,sepmodel,0.791,-0.0015590272436878001,0.007914927479696273,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,timemachine,0.917,0.005746045268821039,0.0056168904082103096,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,fixmodel,0.853,0.003995920447959054,0.007298619623227393,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,MAPpriorNew,0.885,-0.00249144998029161,0.0059883075305072345,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,poolmodel,0.945,-0.0022211999333952136,0.005113348371674937,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,sepmodel,0.779,-0.0034746691951450647,0.008178064894820581,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,timemachine,0.901,0.003087041123649969,0.006020546289965739,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,fixmodel,0.854,0.005098698553936339,0.007056686519675521,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,MAPpriorNew,0.889,0.0013167933085743394,0.005676323246337855,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,poolmodel,0.944,-1.536807676985428e-4,0.004982158760967224,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,sepmodel,0.8,0.002842912136743866,0.00805526430938844,0,1000
