num_arms,n_arm,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,lambda9,lambda10,trend,N_peak,trend_mean,trend_var,alpha,prec_theta,prec_eta,tau_a,tau_b,tau_case,prec_a,prec_b,bucket_size,opt,prior_prec_tau,prior_prec_eta,n_samples,n_chains,n_iter,n_adapt,robustify,weight,ncc,study_arm,model,reject_h0,bias,MSE,failed,nsim
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,-0.15,random,random,random,random,random,random,random,random,random,-0.15,linear,NA,-0.15,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,fixmodel,0.0274,5.233059818672915e-4,0.007406235298150429,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,-0.15,random,random,random,random,random,random,random,random,random,-0.15,linear,NA,-0.15,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,MAPpriorNew,0.0083,-0.028518101633564007,0.0071952402900576405,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,-0.15,random,random,random,random,random,random,random,random,random,-0.15,linear,NA,-0.15,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,poolmodel,0.0019,-0.06548337225810863,0.009352057118838167,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,-0.15,random,random,random,random,random,random,random,random,random,-0.15,linear,NA,-0.15,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,sepmodel,0.0232,3.6488646265979516e-4,0.008014849535178841,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,-0.15,random,random,random,random,random,random,random,random,random,-0.15,linear,NA,-0.15,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,timemachine,0.0273,4.3070072073002233e-4,0.007387867917688808,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,-0.11249999999999999,random,random,random,random,random,random,random,random,random,-0.11249999999999999,linear,NA,-0.11249999999999999,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,fixmodel,0.0265,5.904333099510307e-4,0.007378189405563768,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,-0.11249999999999999,random,random,random,random,random,random,random,random,random,-0.11249999999999999,linear,NA,-0.11249999999999999,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,MAPpriorNew,0.0096,-0.022733103456283852,0.006563903699282713,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,-0.11249999999999999,random,random,random,random,random,random,random,random,random,-0.11249999999999999,linear,NA,-0.11249999999999999,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,poolmodel,0.0037,-0.04880084870061287,0.007312398798573436,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,-0.11249999999999999,random,random,random,random,random,random,random,random,random,-0.11249999999999999,linear,NA,-0.11249999999999999,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,sepmodel,0.025,4.143299975180572e-4,0.008038739468786754,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,-0.11249999999999999,random,random,random,random,random,random,random,random,random,-0.11249999999999999,linear,NA,-0.11249999999999999,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,timemachine,0.0276,5.201719699931379e-4,0.007384160128010011,0,10000
