num_arms,n_arm,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,lambda9,lambda10,trend,N_peak,trend_mean,trend_var,alpha,prec_theta,prec_eta,tau_a,tau_b,tau_case,prec_a,prec_b,bucket_size,opt,prior_prec_tau,prior_prec_eta,n_samples,n_chains,n_iter,n_adapt,robustify,weight,ncc,study_arm,model,reject_h0,bias,MSE,failed,nsim
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.15,random,random,random,random,random,random,random,random,random,-0.15,linear,NA,-0.15,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,fixmodel,0.8375,-5.823199157458707e-4,0.007440037522849311,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.15,random,random,random,random,random,random,random,random,random,-0.15,linear,NA,-0.15,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,MAPpriorNew,0.7842,-0.02963297671977253,0.007133249761145108,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.15,random,random,random,random,random,random,random,random,random,-0.15,linear,NA,-0.15,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,poolmodel,0.7418,-0.06543689022294279,0.00927220889866586,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.15,random,random,random,random,random,random,random,random,random,-0.15,linear,NA,-0.15,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,sepmodel,0.7917,-0.0012537675259882593,0.007827506969990804,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.15,random,random,random,random,random,random,random,random,random,-0.15,linear,NA,-0.15,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,timemachine,0.8384,-5.782680032449429e-4,0.0074322046179173895,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.11249999999999999,random,random,random,random,random,random,random,random,random,-0.11249999999999999,linear,NA,-0.11249999999999999,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,fixmodel,0.8408,-1.55836369248508e-5,0.0072992298862132625,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.11249999999999999,random,random,random,random,random,random,random,random,random,-0.11249999999999999,linear,NA,-0.11249999999999999,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,MAPpriorNew,0.8197,-0.023005757237525785,0.006467042661779533,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.11249999999999999,random,random,random,random,random,random,random,random,random,-0.11249999999999999,linear,NA,-0.11249999999999999,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,poolmodel,0.8118,-0.04987457145221638,0.007342172690012461,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.11249999999999999,random,random,random,random,random,random,random,random,random,-0.11249999999999999,linear,NA,-0.11249999999999999,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,sepmodel,0.8025,6.704142762962706e-4,0.007814460091276898,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.11249999999999999,random,random,random,random,random,random,random,random,random,-0.11249999999999999,linear,NA,-0.11249999999999999,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,timemachine,0.8433,-7.663375361599472e-5,0.007281488780289171,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.075,random,random,random,random,random,random,random,random,random,-0.075,linear,NA,-0.075,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,fixmodel,0.8383,-0.0013145073294617885,0.007332114382982258,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.075,random,random,random,random,random,random,random,random,random,-0.075,linear,NA,-0.075,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,MAPpriorNew,0.8468,-0.017097712233084376,0.006128466303485982,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.075,random,random,random,random,random,random,random,random,random,-0.075,linear,NA,-0.075,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,poolmodel,0.8683,-0.033549182585944554,0.006039710114565139,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.075,random,random,random,random,random,random,random,random,random,-0.075,linear,NA,-0.075,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,sepmodel,0.7935,-0.001149172037711562,0.007961244683411774,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.075,random,random,random,random,random,random,random,random,random,-0.075,linear,NA,-0.075,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,timemachine,0.8393,-0.0013009749651997347,0.007322677548002865,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.037500000000000006,random,random,random,random,random,random,random,random,random,-0.037500000000000006,linear,NA,-0.037500000000000006,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,fixmodel,0.8425,5.712379990399234e-4,0.0073330193554986545,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.037500000000000006,random,random,random,random,random,random,random,random,random,-0.037500000000000006,linear,NA,-0.037500000000000006,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,MAPpriorNew,0.8714,-0.007812636414026039,0.0057687894837570594,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.037500000000000006,random,random,random,random,random,random,random,random,random,-0.037500000000000006,linear,NA,-0.037500000000000006,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,poolmodel,0.9165,-0.015685888258388885,0.0051036544889911965,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.037500000000000006,random,random,random,random,random,random,random,random,random,-0.037500000000000006,linear,NA,-0.037500000000000006,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,sepmodel,0.7953,8.990381553398087e-5,0.00795774207050627,0,10000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.037500000000000006,random,random,random,random,random,random,random,random,random,-0.037500000000000006,linear,NA,-0.037500000000000006,0.5,0.025,0.001,0.001,11.562217211138178,11.562217211138178,reasonable,0.001,0.001,25,2,0.002,0.001,1000,4,4000,1000,TRUE,0.1,TRUE,10,timemachine,0.8431,6.005357243192836e-4,0.007322425579158603,0,10000
