num_arms,n_arm,d1,d2,d3,period_blocks,mu0,sigma,theta1,theta2,theta3,lambda0,lambda1,lambda2,lambda3,trend,N_peak,alpha,prec_theta,prec_eta,tau_a,tau_b,tau_case,prec_a,prec_b,bucket_size,opt,prior_prec_tau,prior_prec_eta,n_samples,n_chains,n_iter,n_adapt,robustify,weight,trend_mean,trend_var,ncc,study_arm,model,reject_h0,bias,MSE,failed,nsim
3,250,0,250,500,2,0,1,0,0,0,0.1,-0.05,0.1,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,3,fixmodel,0.0295,0.003672179709768362,0.007544506831807534,0,10000
3,250,0,250,500,2,0,1,0,0,0,0.1,-0.05,0.1,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,3,MAPpriorNew,0.0285,0.0057372065433347955,0.00749231672190026,0,10000
3,250,0,250,500,2,0,1,0,0,0,0.1,-0.05,0.1,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,3,sepmodel,0.0262,1.4174754779572624e-4,0.00814484850139226,0,10000
3,250,0,250,500,2,0,1,0,0,0,0.1,-0.05,0.1,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,3,timemachine,0.0331,0.007886679599698819,0.0072852985975409325,0,10000
3,250,0,250,500,2,0,1,0,0,0,0.1,-0.012500000000000004,0.1,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,3,fixmodel,0.0271,0.003754095865892588,0.007330546276978476,0,10000
3,250,0,250,500,2,0,1,0,0,0,0.1,-0.012500000000000004,0.1,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,3,MAPpriorNew,0.0283,0.0065840628928877844,0.0073952235951093,0,10000
3,250,0,250,500,2,0,1,0,0,0,0.1,-0.012500000000000004,0.1,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,3,sepmodel,0.0256,8.501437005689248e-4,0.00806692548479378,0,10000
3,250,0,250,500,2,0,1,0,0,0,0.1,-0.012500000000000004,0.1,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,3,timemachine,0.0284,0.008121840466002079,0.007053937268973987,0,10000
3,250,0,250,500,2,0,1,0,0,0,0.1,0.024999999999999994,0.1,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,3,fixmodel,0.0264,3.233273231714634e-4,0.007463998901486766,0,10000
3,250,0,250,500,2,0,1,0,0,0,0.1,0.024999999999999994,0.1,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,3,MAPpriorNew,0.0259,0.004443089770609813,0.007497133481477438,0,10000
3,250,0,250,500,2,0,1,0,0,0,0.1,0.024999999999999994,0.1,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,3,sepmodel,0.025,-0.0015435648540204645,0.008211965740615595,0,10000
3,250,0,250,500,2,0,1,0,0,0,0.1,0.024999999999999994,0.1,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,3,timemachine,0.0285,0.005497834349252266,0.007129472941948267,0,10000
3,250,0,250,500,2,0,1,0,0,0,0.1,0.062499999999999986,0.1,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,3,fixmodel,0.0254,4.9368172462612746e-5,0.007255244855391184,0,10000
3,250,0,250,500,2,0,1,0,0,0,0.1,0.062499999999999986,0.1,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,3,MAPpriorNew,0.0264,0.004985326161898447,0.0072698415113606986,0,10000
3,250,0,250,500,2,0,1,0,0,0,0.1,0.062499999999999986,0.1,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,3,sepmodel,0.0245,-9.342399172347594e-4,0.007923593948762436,0,10000
3,250,0,250,500,2,0,1,0,0,0,0.1,0.062499999999999986,0.1,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,3,timemachine,0.0259,0.004210967427868501,0.0069894385739042155,0,10000
3,250,0,250,500,2,0,1,0,0,0,0.1,0.09999999999999999,0.1,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,3,fixmodel,0.0248,2.31984134325225e-4,0.007384391436537221,0,10000
3,250,0,250,500,2,0,1,0,0,0,0.1,0.09999999999999999,0.1,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,3,MAPpriorNew,0.0269,0.006085686049270551,0.007403748631183309,0,10000
3,250,0,250,500,2,0,1,0,0,0,0.1,0.09999999999999999,0.1,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,3,sepmodel,0.0236,3.574032552891146e-4,0.00808970050550985,0,10000
3,250,0,250,500,2,0,1,0,0,0,0.1,0.09999999999999999,0.1,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,3,timemachine,0.0273,0.004710423159848871,0.007085031722986904,0,10000
3,250,0,250,500,2,0,1,0,0,0,0.1,0.1375,0.1,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,3,fixmodel,0.0235,-0.0017339144828406841,0.007300944413880355,0,10000
3,250,0,250,500,2,0,1,0,0,0,0.1,0.1375,0.1,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,3,MAPpriorNew,0.0257,0.0050625422178968826,0.007357042331520938,0,10000
3,250,0,250,500,2,0,1,0,0,0,0.1,0.1375,0.1,0.1,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,3,sepmodel,0.0231,-7.05228224187207e-4,0.00804124818085104,0,10000
