num_arms,n_arm,d1,d2,d3,d4,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,N_peak,alpha,prec_theta,prec_eta,tau_a,tau_b,tau_case,prec_a,prec_b,bucket_size,opt,prior_prec_tau,prior_prec_eta,n_samples,n_chains,n_iter,n_adapt,robustify,weight,trend_mean,trend_var,ncc,study_arm,model,reject_h0,bias,MSE,failed,nsim
4,250,0,300,300,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,fixmodel,0.0263,-3.687042387046868e-4,0.0072489928363763684,0,10000
4,250,0,300,300,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,MAPpriorNew,0.0325,0.013414100424772755,0.007292756187710859,0,10000
4,250,0,300,300,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,poolmodel,0.0854,0.04571130216619051,0.007948865025276166,0,10000
4,250,0,300,300,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,sepmodel,0.0258,-3.850880227843797e-4,0.00801942185000078,0,10000
4,250,0,300,300,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,timemachine,0.0342,0.010893904452005767,0.006857823239055881,0,10000
4,250,0,300,425,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,fixmodel,0.0254,0.0011635657992958464,0.006917958602527893,0,10000
4,250,0,300,425,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,MAPpriorNew,0.0361,0.017338116413167164,0.007031380308495481,0,10000
4,250,0,300,425,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,poolmodel,0.0895,0.04752160402587562,0.008003123094673964,0,10000
4,250,0,300,425,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,sepmodel,0.0237,0.0014934782543203511,0.007704492180341858,0,10000
4,250,0,300,425,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,timemachine,0.0329,0.012350972949160759,0.006673704010409713,0,10000
4,250,0,300,550,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,fixmodel,0.0229,-8.101759620606393e-4,0.007242766727006418,0,10000
4,250,0,300,550,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,MAPpriorNew,0.0345,0.015262894787145532,0.007245717750887416,0,10000
